station_code,tier_cm,started_at,ended_at,duration_minutes,n_readings,peak_depth_cm,n_excursions_merged,year
FL.BKE.01,5.0,2019-04-07 23:35:00,2019-04-08 00:35:00,65,13,11.4,1,2019
FL.LSI.06,5.0,2019-04-08 09:05:00,2019-04-08 21:10:00,730,146,56.5,1,2019
FL.DST.03,5.0,2019-04-08 11:30:00,2019-04-08 12:00:00,35,7,6.7,1,2019
FL.DST.03,5.0,2019-04-08 13:50:00,2019-04-08 14:15:00,30,5,6.0,2,2019
FL.LSI.06,5.0,2019-04-09 07:15:00,2019-04-09 09:45:00,155,31,33.4,1,2019
FL.BNA.03,5.0,2019-04-23 00:15:00,2019-04-23 01:05:00,55,11,9.0,1,2019
FL.SLG.03,5.0,2019-04-23 00:15:00,2019-04-23 00:45:00,35,7,16.6,1,2019
FL.PPS.01,5.0,2019-04-23 00:30:00,2019-04-23 01:40:00,75,15,6.3,1,2019
FL.RTW.01,5.0,2019-04-23 00:35:00,2019-04-23 01:25:00,55,11,14.2,1,2019
FL.RTW.10,5.0,2019-04-23 00:40:00,2019-04-23 00:45:00,10,2,10.2,1,2019
FL.SPW.01,5.0,2019-04-23 00:50:00,2019-04-23 01:30:00,45,9,6.6,1,2019
FL.SLG.02,5.0,2019-04-23 11:10:00,2019-04-23 11:20:00,15,3,29.3,1,2019
FL.LSI.02,5.0,2019-04-25 15:00:00,2019-04-25 15:15:00,20,4,9.4,1,2019
FL.LSI.04,5.0,2019-04-25 15:05:00,2019-04-25 16:05:00,65,13,16.2,1,2019
FL.BBN.01,5.0,2019-04-26 10:30:00,2019-04-26 10:35:00,10,2,29.5,1,2019
FL.LSI.04,5.0,2019-04-26 14:15:00,2019-04-26 15:25:00,75,15,18.4,1,2019
FL.BNA.03,5.0,2019-04-30 22:40:00,2019-04-30 23:25:00,50,10,8.0,1,2019
FL.LSI.02,5.0,2019-05-10 16:55:00,2019-05-10 17:15:00,25,5,12.2,1,2019
FL.BNA.03,5.0,2019-05-13 20:45:00,2019-05-13 21:40:00,60,12,8.0,1,2019
FL.LSI.02,5.0,2019-05-14 03:55:00,2019-05-14 04:10:00,20,4,8.7,1,2019
FL.PPS.01,5.0,2019-05-14 05:00:00,2019-05-14 05:05:00,10,2,5.1,1,2019
FL.BNA.03,5.0,2019-05-14 17:55:00,2019-05-14 19:20:00,90,18,9.6,1,2019
FL.BNA.03,5.0,2019-05-16 05:15:00,2019-05-16 06:20:00,70,14,9.3,1,2019
FL.BNA.04,5.0,2019-05-16 05:25:00,2019-05-16 05:55:00,35,7,13.2,1,2019
FL.BNA.03,5.0,2019-05-19 02:40:00,2019-05-19 02:55:00,20,4,5.5,1,2019
FL.DDG.02,5.0,2019-05-22 04:40:00,2019-05-22 04:45:00,10,2,5.6,1,2019
FL.PPS.01,5.0,2019-05-22 04:50:00,2019-05-22 05:15:00,30,6,14.3,1,2019
FL.DDG.06,5.0,2019-05-22 11:35:00,2019-05-22 11:40:00,10,2,30.5,1,2019
FL.PPS.01,5.0,2019-05-22 18:45:00,2019-05-22 18:50:00,10,2,5.2,1,2019
FL.BKM.02,5.0,2019-05-22 18:50:00,2019-05-22 19:15:00,30,6,7.8,1,2019
FL.BNA.03,5.0,2019-05-22 18:55:00,2019-05-22 19:35:00,45,9,7.6,1,2019
FL.PPS.01,5.0,2019-05-27 20:35:00,2019-05-27 21:00:00,30,6,5.9,1,2019
FL.BNA.03,5.0,2019-05-28 21:15:00,2019-05-28 21:35:00,25,5,6.3,1,2019
FL.PPS.01,5.0,2019-05-28 22:10:00,2019-05-28 22:15:00,10,2,5.0,1,2019
FL.PWT.02,5.0,2019-05-29 07:10:00,2019-05-29 07:40:00,35,7,17.2,1,2019
FL.SLG.03,5.0,2019-05-30 00:35:00,2019-05-30 01:10:00,40,8,19.9,1,2019
FL.BKP.02,5.0,2019-05-30 00:55:00,2019-05-30 01:20:00,30,6,15.3,1,2019
FL.PPS.01,5.0,2019-05-30 08:45:00,2019-05-30 09:05:00,25,5,5.8,1,2019
FL.PWT.02,5.0,2019-05-30 09:25:00,2019-05-30 09:45:00,25,5,13.5,1,2019
FL.LSI.04,5.0,2019-05-30 10:55:00,2019-05-30 11:05:00,15,3,5.2,1,2019
FL.SLG.02,5.0,2019-05-30 20:15:00,2019-05-30 20:25:00,15,3,8.9,1,2019
FL.BNA.03,5.0,2019-06-01 02:05:00,2019-06-01 03:10:00,70,14,6.7,1,2019
FL.PPS.01,5.0,2019-06-01 22:15:00,2019-06-01 23:05:00,55,11,5.9,1,2019
FL.PPS.01,5.0,2019-06-02 03:40:00,2019-06-02 11:25:00,470,94,9.9,1,2019
FL.PPS.01,5.0,2019-06-03 21:45:00,2019-06-03 22:30:00,50,10,5.9,1,2019
FL.PPS.01,5.0,2019-06-06 00:10:00,2019-06-06 07:50:00,465,93,8.0,1,2019
FL.HKG.01,5.0,2019-06-06 10:15:00,2019-06-06 10:20:00,10,2,30.1,1,2019
FL.PPS.01,5.0,2019-06-06 13:30:00,2019-06-07 12:25:00,1380,266,10.4,2,2019
FL.RTW.08,5.0,2019-06-06 15:20:00,2019-06-06 15:45:00,30,6,10.0,1,2019
FL.DDG.04,5.0,2019-06-07 14:10:00,2019-06-07 14:35:00,30,6,7.4,1,2019
FL.DDG.02,5.0,2019-06-07 14:15:00,2019-06-07 18:25:00,255,51,34.5,1,2019
FL.DDG.06,5.0,2019-06-07 14:15:00,2019-06-07 20:00:00,350,70,48.9,1,2019
FL.CTC.02,5.0,2019-06-07 14:20:00,2019-06-07 17:55:00,220,44,44.0,1,2019
FL.PYT.04,5.0,2019-06-07 14:25:00,2019-06-07 18:40:00,260,52,31.1,1,2019
FL.PYT.07,5.0,2019-06-07 14:25:00,2019-06-07 15:25:00,65,13,11.8,1,2019
FL.CTC.01,5.0,2019-06-07 14:30:00,2019-06-07 15:45:00,80,16,19.1,1,2019
FL.CTC.07,5.0,2019-06-07 14:30:00,2019-06-07 15:15:00,50,10,19.7,1,2019
FL.DDG.01,5.0,2019-06-07 14:30:00,2019-06-07 14:55:00,30,6,14.3,1,2019
FL.PYT.02,5.0,2019-06-07 14:30:00,2019-06-07 18:05:00,220,44,34.0,1,2019
FL.PYT.06,5.0,2019-06-07 14:30:00,2019-06-07 17:45:00,200,40,28.3,1,2019
FL.BKN.01,5.0,2019-06-07 14:35:00,2019-06-07 16:45:00,135,27,27.1,1,2019
FL.BKN.02,5.0,2019-06-07 14:35:00,2019-06-07 17:00:00,150,30,21.2,1,2019
FL.CTC.05,5.0,2019-06-07 14:35:00,2019-06-07 18:40:00,250,50,33.6,1,2019
FL.RTW.01,5.0,2019-06-07 14:35:00,2019-06-07 17:30:00,180,36,36.0,1,2019
FL.RTW.10,5.0,2019-06-07 14:35:00,2019-06-07 17:00:00,150,30,34.2,1,2019
FL.RTW.05,5.0,2019-06-07 14:40:00,2019-06-07 16:40:00,125,25,7.9,1,2019
FL.RTW.07,5.0,2019-06-07 14:40:00,2019-06-07 15:20:00,45,9,16.7,1,2019
FL.CTC.04,5.0,2019-06-07 14:45:00,2019-06-07 15:10:00,30,6,11.9,1,2019
FL.SPW.01,5.0,2019-06-07 14:45:00,2019-06-07 16:00:00,80,16,24.7,1,2019
FL.DDG.03,5.0,2019-06-07 14:50:00,2019-06-07 15:05:00,20,4,16.8,1,2019
FL.DDG.05,5.0,2019-06-07 14:50:00,2019-06-07 17:15:00,150,30,21.9,1,2019
FL.LSI.04,5.0,2019-06-07 14:50:00,2019-06-07 15:40:00,55,11,14.4,1,2019
FL.SLG.02,5.0,2019-06-07 14:50:00,2019-06-07 15:55:00,70,14,10.5,1,2019
FL.SPW.02,5.0,2019-06-07 14:50:00,2019-06-07 16:00:00,75,15,13.2,1,2019
FL.BRK.01,5.0,2019-06-07 14:55:00,2019-06-07 15:45:00,55,11,21.9,1,2019
