dataset,year,station_code,rows,n_timestamps,ts_min,ts_max,duplicate_timestamps
flood,2019,FL.WTL.04,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.PYT.01,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.PYT.04,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.DDG.03,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.BKN.01,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.CTC.03,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.CTC.04,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.CTC.05,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.DDG.08,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.PNK.02,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.PTW.05,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.RTW.04,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.RTW.05,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.STN.03,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.WTN.02,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.BBN.02,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.BKL.01,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.BKP.01,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.BSU.01,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.DST.07,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.PKN.01,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.PPS.01,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.RTW.03,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.BKE.01,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.SLG.01,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2019,FL.WTL.02,105120,105120,2019-01-01,2019-12-31 23:55:00,0
flood,2020,FL.BKM.01,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.BNA.01,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.BNA.04,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.CTC.07,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.DST.01,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.DST.02,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.KTY.01,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.KTY.02,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.LSI.03,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.PTW.02,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.PWT.02,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.PYT.06,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.RTW.09,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.RTW.10,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.SLG.02,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.STN.01,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.WTL.03,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.BKA.01,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.BNA.02,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.BRK.01,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.DDG.07,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.DST.06,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.JTG.01,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.PTW.01,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.PTW.04,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.RTW.06,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.DST.04,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.KTY.03,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.LSI.01,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.LSI.04,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.PWT.01,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.PYT.03,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.PYT.05,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.BKE.02,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.BRK.02,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.DDG.03,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.KSN.01,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.KTY.04,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.KTY.05,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.LSI.05,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.PYT.01,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.PYT.02,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.SMI.01,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.STN.02,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.WTL.04,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.DDG.01,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.HKG.01,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.LSI.02,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.PPS.02,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.PYT.04,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.SLG.03,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.BBN.02,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.BKP.01,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.BSU.01,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.CTC.03,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.CTC.04,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.DDG.08,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.DST.07,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.PNK.02,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.PPS.01,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.PTW.05,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.RTW.04,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.RTW.05,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.SLG.01,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.WTN.02,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.BKE.01,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.BKL.01,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.CTC.05,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.PKN.01,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.RTW.03,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.STN.03,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.WTL.02,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.BKN.01,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.BBN.01,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.BKM.02,105408,105408,2020-01-01,2020-12-31 23:55:00,0
flood,2020,FL.BKN.02,105408,105408,2020-01-01,2020-12-31 23:55:00,0
