station_code,started_at,ended_at,n_readings,peak_depth_cm,tier_cm
FL.BKE.02,2019-06-24 06:10:00,2019-06-24 06:10:00,1,30.4,30.0
FL.BKE.02,2019-06-24 06:20:00,2019-06-24 06:30:00,3,35.6,30.0
FL.BKE.02,2019-06-24 06:40:00,2019-06-24 06:50:00,3,35.8,30.0
FL.BKE.02,2019-06-24 07:00:00,2019-06-24 07:00:00,1,30.2,30.0
FL.BKM.01,2019-07-01 00:35:00,2019-07-01 00:35:00,1,33.2,30.0
FL.BKM.01,2019-07-10 11:05:00,2019-07-10 11:05:00,1,77.5,30.0
FL.BKM.01,2021-08-21 06:15:00,2021-08-21 07:35:00,17,37.9,30.0
FL.BKM.01,2022-07-20 20:10:00,2022-07-20 20:10:00,1,31.0,30.0
FL.BKM.01,2022-09-10 01:35:00,2022-09-10 01:45:00,3,32.2,30.0
FL.BKM.01,2022-09-10 01:55:00,2022-09-10 02:00:00,2,32.3,30.0
FL.BKM.01,2022-09-10 02:10:00,2022-09-10 02:15:00,2,30.7,30.0
FL.BKM.01,2023-07-22 00:35:00,2023-07-22 01:55:00,17,39.4,30.0
FL.BKM.01,2023-07-22 02:10:00,2023-07-22 02:10:00,1,32.3,30.0
FL.BKM.01,2023-07-22 02:25:00,2023-07-22 02:25:00,1,30.2,30.0
FL.BKM.01,2024-08-20 00:40:00,2024-08-20 01:15:00,8,32.5,30.0
FL.BKM.01,2025-05-10 18:15:00,2025-05-10 18:20:00,2,31.1,30.0
FL.BKM.01,2025-05-10 18:30:00,2025-05-10 18:45:00,4,33.4,30.0
FL.BKM.01,2025-05-10 18:55:00,2025-05-10 18:55:00,1,30.9,30.0
FL.BKM.01,2025-05-10 19:05:00,2025-05-10 19:10:00,2,33.8,30.0
FL.BKM.01,2025-05-10 19:20:00,2025-05-10 19:20:00,1,30.1,30.0
FL.BKM.02,2019-01-23 11:00:00,2019-01-23 11:00:00,1,63.0,30.0
FL.BKM.02,2023-07-22 01:10:00,2023-07-22 01:10:00,1,30.0,30.0
FL.BKP.02,2021-05-19 19:45:00,2021-05-19 19:45:00,1,32.6,30.0
FL.BKP.02,2021-05-19 19:55:00,2021-05-19 19:55:00,1,31.0,30.0
FL.BKP.02,2021-05-19 20:05:00,2021-05-19 20:05:00,1,30.5,30.0
FL.BKP.02,2022-09-13 15:05:00,2022-09-13 15:05:00,1,31.8,30.0
FL.BKP.02,2022-09-13 15:15:00,2022-09-13 15:15:00,1,32.7,30.0
FL.BKP.02,2022-09-13 15:35:00,2022-09-13 15:50:00,4,32.5,30.0
FL.BKP.02,2022-09-13 16:00:00,2022-09-13 16:00:00,1,30.0,30.0
FL.BNA.02,2019-09-20 02:55:00,2019-09-20 02:55:00,1,32.0,30.0
FL.BNA.02,2019-09-20 03:05:00,2019-09-20 03:05:00,1,33.2,30.0
FL.BNA.02,2019-09-20 03:35:00,2019-09-20 03:35:00,1,31.2,30.0
FL.BNA.02,2019-09-20 03:45:00,2019-09-20 03:45:00,1,30.6,30.0
FL.BNA.03,2019-01-09 19:35:00,2019-01-09 19:45:00,3,35.3,30.0
FL.BNA.03,2019-10-05 12:20:00,2019-10-05 13:40:00,17,50.3,30.0
FL.BNA.03,2021-05-19 19:20:00,2021-05-19 21:05:00,22,47.1,30.0
FL.BNA.03,2021-10-15 06:15:00,2021-10-15 06:15:00,1,31.8,30.0
FL.BNA.03,2021-10-15 06:25:00,2021-10-15 06:25:00,1,36.2,30.0
FL.BNA.03,2021-10-17 00:20:00,2021-10-17 00:20:00,1,30.8,30.0
FL.BNA.03,2022-05-17 22:50:00,2022-05-17 23:25:00,8,32.7,30.0
FL.BNA.03,2022-06-19 20:00:00,2022-06-19 20:00:00,1,30.0,30.0
FL.BNA.03,2022-07-20 22:15:00,2022-07-21 00:20:00,26,46.2,30.0
FL.BNA.03,2022-07-21 00:35:00,2022-07-21 00:35:00,1,34.0,30.0
FL.BNA.03,2022-09-13 15:25:00,2022-09-13 15:35:00,3,36.1,30.0
FL.BNA.03,2022-09-13 15:45:00,2022-09-13 15:45:00,1,32.0,30.0
FL.BNA.03,2022-10-03 13:55:00,2022-10-03 13:55:00,1,32.2,30.0
FL.BNA.03,2022-10-03 14:05:00,2022-10-03 14:10:00,2,40.0,30.0
FL.BNA.03,2022-10-03 14:20:00,2022-10-03 17:30:00,39,50.9,30.0
FL.BNA.03,2025-09-27 20:00:00,2025-09-27 20:00:00,1,32.5,30.0
FL.BNA.04,2020-10-05 02:45:00,2020-10-05 02:55:00,3,32.5,30.0
FL.BNA.04,2023-09-21 18:10:00,2023-09-21 18:25:00,4,32.3,30.0
FL.BNA.05,2023-09-26 19:05:00,2023-09-26 19:15:00,3,32.6,30.0
FL.BNA.05,2023-09-26 19:35:00,2023-09-26 20:00:00,6,33.1,30.0
FL.BNA.05,2023-09-26 20:25:00,2023-09-26 20:30:00,2,32.5,30.0
FL.BRK.01,2023-09-25 14:55:00,2023-09-25 14:55:00,1,30.5,30.0
FL.BRK.01,2023-09-25 15:10:00,2023-09-25 15:20:00,3,33.2,30.0
FL.BRK.01,2024-10-29 22:55:00,2024-10-29 23:00:00,2,31.8,30.0
FL.BRK.02,2022-06-13 00:40:00,2022-06-13 00:50:00,3,40.7,30.0
FL.CTC.01,2021-10-14 18:25:00,2021-10-14 18:25:00,1,31.0,30.0
FL.CTC.01,2022-05-18 00:50:00,2022-05-18 00:55:00,2,38.4,30.0
FL.CTC.01,2022-05-18 01:05:00,2022-05-18 04:15:00,39,37.3,30.0
FL.CTC.01,2022-05-18 05:00:00,2022-05-18 05:00:00,1,30.6,30.0
FL.CTC.01,2022-10-03 18:00:00,2022-10-03 18:00:00,1,31.6,30.0
FL.CTC.01,2022-10-03 18:10:00,2022-10-03 18:10:00,1,30.3,30.0
