asset,path,size_gb,crs,resolution_m,width,height,overviews,lon_min,lat_min,lon_max,lat_max
1 m DTM,data/DTM_1M/DTM_1M.tif,12.94,EPSG:32647,1.0,66227,52321,8,100.3252,13.4809,100.9407,13.9578
SRTM DEM,data/output_SRTMGL1.tif,0.0,EPSG:4326,0.0003,2786,2009,0,100.2215,13.4504,100.9954,14.0085
