station_code,started_at,ended_at,n_readings,peak_depth_cm,tier_cm
FL.BBN.01,2019-04-26 10:30:00,2019-04-26 10:35:00,2,29.5,15.0
FL.BBN.01,2019-09-19 18:40:00,2019-09-19 18:40:00,1,16.2,15.0
FL.BBN.01,2020-05-26 03:35:00,2020-05-26 03:35:00,1,21.4,15.0
FL.BBN.01,2020-09-01 05:20:00,2020-09-01 06:05:00,10,21.1,15.0
FL.BBN.01,2020-09-27 21:10:00,2020-09-27 21:10:00,1,16.7,15.0
FL.BBN.01,2020-09-28 21:25:00,2020-09-28 22:05:00,9,19.7,15.0
FL.BBN.01,2020-09-28 22:25:00,2020-09-28 22:25:00,1,15.5,15.0
FL.BBN.01,2020-10-04 00:05:00,2020-10-04 00:10:00,2,15.7,15.0
FL.BBN.01,2020-10-06 15:50:00,2020-10-06 15:55:00,2,19.7,15.0
FL.BBN.01,2020-11-21 11:25:00,2020-11-21 11:25:00,1,15.9,15.0
FL.BBN.01,2021-06-13 17:45:00,2021-06-13 17:45:00,1,15.0,15.0
FL.BBN.01,2021-07-14 08:30:00,2021-07-14 09:35:00,14,21.0,15.0
FL.BBN.01,2021-07-28 14:00:00,2021-07-28 14:00:00,1,15.9,15.0
FL.BBN.01,2021-09-08 03:05:00,2021-09-08 03:25:00,5,17.2,15.0
FL.BBN.01,2021-09-19 15:55:00,2021-09-19 16:30:00,8,22.5,15.0
FL.BBN.01,2021-10-03 21:45:00,2021-10-03 22:00:00,4,17.8,15.0
FL.BBN.01,2021-10-07 14:30:00,2021-10-07 14:40:00,3,19.6,15.0
FL.BBN.01,2022-05-28 17:35:00,2022-05-28 17:45:00,3,17.5,15.0
FL.BBN.01,2022-05-28 17:55:00,2022-05-28 17:55:00,1,15.1,15.0
FL.BBN.01,2022-06-19 19:15:00,2022-06-19 19:35:00,5,18.8,15.0
FL.BBN.01,2022-06-24 21:00:00,2022-06-24 21:55:00,12,21.3,15.0
FL.BBN.01,2022-06-28 17:40:00,2022-06-28 18:05:00,6,20.3,15.0
FL.BBN.01,2022-07-20 22:40:00,2022-07-20 22:50:00,3,20.8,15.0
FL.BBN.01,2022-07-20 23:00:00,2022-07-20 23:00:00,1,16.7,15.0
FL.BBN.01,2022-10-03 15:00:00,2022-10-03 15:05:00,2,15.5,15.0
FL.BBN.01,2023-10-16 17:20:00,2023-10-16 17:20:00,1,17.0,15.0
FL.BBN.01,2024-10-16 12:05:00,2024-10-16 12:05:00,1,15.4,15.0
FL.BBN.01,2025-05-23 21:25:00,2025-05-23 21:45:00,5,17.2,15.0
FL.BBN.01,2025-05-23 22:15:00,2025-05-23 22:20:00,2,18.4,15.0
FL.BBN.01,2025-05-23 22:30:00,2025-05-23 22:35:00,2,17.7,15.0
FL.BBN.01,2025-10-06 00:40:00,2025-10-06 01:35:00,12,22.4,15.0
FL.BBN.02,2021-07-14 08:30:00,2021-07-14 09:50:00,17,24.2,15.0
FL.BBN.02,2022-06-24 21:15:00,2022-06-24 21:15:00,1,15.1,15.0
FL.BBN.02,2022-06-24 21:25:00,2022-06-24 22:00:00,8,19.3,15.0
FL.BBN.02,2022-07-20 22:45:00,2022-07-20 23:20:00,8,19.3,15.0
FL.BBN.02,2022-10-03 15:10:00,2022-10-03 15:10:00,1,15.1,15.0
FL.BBN.02,2025-05-23 21:30:00,2025-05-23 23:05:00,20,20.0,15.0
FL.BBN.02,2025-10-06 00:50:00,2025-10-06 01:55:00,14,26.7,15.0
FL.BKE.01,2020-10-16 13:45:00,2020-10-16 13:45:00,1,17.0,15.0
FL.BKE.01,2020-10-16 13:55:00,2020-10-16 14:15:00,5,17.6,15.0
FL.BKE.01,2021-07-01 22:20:00,2021-07-01 22:50:00,7,17.1,15.0
FL.BKE.01,2021-09-20 20:00:00,2021-09-20 20:30:00,7,18.6,15.0
FL.BKE.01,2022-02-04 18:55:00,2022-02-04 19:20:00,6,18.6,15.0
FL.BKE.01,2022-07-20 22:35:00,2022-07-20 23:05:00,7,19.6,15.0
FL.BKE.01,2022-09-22 05:00:00,2022-09-22 05:30:00,7,19.6,15.0
FL.BKE.01,2022-09-22 05:40:00,2022-09-22 05:40:00,1,16.0,15.0
FL.BKE.01,2023-09-26 19:50:00,2023-09-26 20:30:00,9,19.9,15.0
FL.BKE.01,2023-10-03 17:35:00,2023-10-03 18:10:00,8,19.0,15.0
FL.BKE.01,2024-03-20 08:15:00,2024-03-20 08:45:00,7,18.9,15.0
FL.BKE.01,2024-10-10 19:35:00,2024-10-10 19:35:00,1,16.2,15.0
FL.BKE.01,2024-10-10 19:45:00,2024-10-10 19:45:00,1,16.3,15.0
FL.BKE.02,2019-06-24 06:00:00,2019-06-24 08:10:00,27,35.8,15.0
FL.BKE.02,2019-06-24 21:55:00,2019-06-24 22:40:00,10,26.5,15.0
FL.BKE.02,2020-09-29 11:35:00,2020-09-29 11:35:00,1,22.9,15.0
FL.BKE.02,2023-09-26 19:35:00,2023-09-26 20:30:00,12,17.3,15.0
FL.BKE.02,2023-10-21 04:40:00,2023-10-21 04:40:00,1,15.0,15.0
FL.BKE.02,2023-10-21 05:05:00,2023-10-21 05:10:00,2,15.6,15.0
FL.BKE.02,2024-03-20 08:25:00,2024-03-20 08:25:00,1,16.4,15.0
FL.BKE.02,2025-10-13 13:05:00,2025-10-13 13:40:00,8,23.5,15.0
FL.BKL.01,2021-02-09 12:55:00,2021-02-09 12:55:00,1,16.0,15.0
FL.BKM.01,2019-06-30 19:00:00,2019-06-30 19:00:00,1,16.2,15.0
FL.BKM.01,2019-06-30 21:50:00,2019-06-30 21:55:00,2,16.8,15.0
FL.BKM.01,2019-06-30 22:05:00,2019-06-30 22:10:00,2,18.1,15.0
FL.BKM.01,2019-06-30 22:25:00,2019-07-01 00:20:00,24,28.7,15.0
FL.BKM.01,2019-07-01 00:35:00,2019-07-01 01:25:00,11,33.2,15.0
FL.BKM.01,2019-07-01 02:25:00,2019-07-01 02:55:00,7,16.4,15.0
FL.BKM.01,2019-07-01 03:10:00,2019-07-01 03:10:00,1,15.8,15.0
FL.BKM.01,2019-07-01 03:25:00,2019-07-01 03:30:00,2,15.4,15.0
FL.BKM.01,2019-07-01 03:40:00,2019-07-01 03:40:00,1,15.9,15.0
FL.BKM.01,2019-07-01 03:55:00,2019-07-01 03:55:00,1,15.1,15.0
FL.BKM.01,2019-07-01 04:10:00,2019-07-01 04:15:00,2,15.8,15.0
FL.BKM.01,2019-07-01 04:25:00,2019-07-01 04:45:00,5,15.6,15.0
FL.BKM.01,2019-07-01 05:10:00,2019-07-01 05:15:00,2,16.2,15.0
FL.BKM.01,2019-07-01 05:25:00,2019-07-01 05:35:00,3,16.6,15.0
FL.BKM.01,2019-07-01 06:00:00,2019-07-01 07:00:00,13,22.5,15.0
FL.BKM.01,2019-07-10 11:05:00,2019-07-10 11:05:00,1,77.5,15.0
FL.BKM.01,2020-07-28 02:15:00,2020-07-28 02:15:00,1,15.3,15.0
FL.BKM.01,2020-08-06 06:35:00,2020-08-06 06:35:00,1,15.0,15.0
FL.BKM.01,2020-08-06 06:50:00,2020-08-06 06:50:00,1,16.0,15.0
FL.BKM.01,2020-08-06 07:05:00,2020-08-06 07:05:00,1,17.2,15.0
FL.BKM.01,2020-08-06 07:15:00,2020-08-06 07:15:00,1,16.5,15.0
FL.BKM.01,2020-08-06 07:40:00,2020-08-06 07:40:00,1,16.4,15.0
FL.BKM.01,2020-08-06 08:05:00,2020-08-06 08:05:00,1,16.7,15.0
FL.BKM.01,2020-08-06 08:35:00,2020-08-06 08:40:00,2,17.6,15.0
FL.BKM.01,2020-08-06 09:10:00,2020-08-06 09:10:00,1,17.7,15.0
FL.BKM.01,2020-08-28 17:20:00,2020-08-28 17:25:00,2,18.1,15.0
FL.BKM.01,2020-08-28 17:35:00,2020-08-28 17:35:00,1,15.2,15.0
FL.BKM.01,2020-09-27 21:00:00,2020-09-27 21:05:00,2,15.4,15.0
FL.BKM.01,2021-02-25 13:25:00,2021-02-25 13:25:00,1,23.1,15.0
FL.BKM.01,2021-08-21 06:00:00,2021-08-21 08:55:00,36,37.9,15.0
FL.BKM.01,2021-09-30 14:20:00,2021-09-30 14:35:00,4,20.5,15.0
FL.BKM.01,2021-10-02 14:45:00,2021-10-02 15:30:00,10,22.3,15.0
FL.BKM.01,2021-10-14 17:30:00,2021-10-14 17:30:00,1,15.1,15.0
FL.BKM.01,2021-10-14 20:45:00,2021-10-14 20:55:00,3,18.2,15.0
FL.BKM.01,2021-10-14 21:05:00,2021-10-14 21:05:00,1,15.1,15.0
FL.BKM.01,2022-06-28 18:30:00,2022-06-28 18:35:00,2,17.0,15.0
FL.BKM.01,2022-07-01 19:35:00,2022-07-01 19:35:00,1,15.9,15.0
FL.BKM.01,2022-07-20 19:50:00,2022-07-21 03:25:00,92,31.0,15.0
FL.BKM.01,2022-07-21 03:35:00,2022-07-21 04:30:00,12,18.2,15.0
FL.BKM.01,2022-07-21 12:25:00,2022-07-21 12:25:00,1,15.9,15.0
FL.BKM.01,2022-07-28 11:05:00,2022-07-28 11:40:00,8,20.5,15.0
FL.BKM.01,2022-07-28 11:50:00,2022-07-28 11:50:00,1,16.6,15.0
FL.BKM.01,2022-08-01 12:25:00,2022-08-01 12:30:00,2,18.2,15.0
FL.BKM.01,2022-08-01 12:45:00,2022-08-01 14:00:00,16,20.3,15.0
FL.BKM.01,2022-08-01 14:15:00,2022-08-01 14:15:00,1,16.2,15.0
FL.BKM.01,2022-08-01 22:30:00,2022-08-02 01:30:00,37,28.0,15.0
FL.BKM.01,2022-08-02 01:40:00,2022-08-02 01:40:00,1,16.9,15.0
FL.BKM.01,2022-08-11 15:35:00,2022-08-11 15:45:00,3,17.3,15.0
FL.BKM.01,2022-09-10 01:05:00,2022-09-10 03:55:00,35,32.3,15.0
FL.BKM.01,2022-09-10 19:45:00,2022-09-10 19:45:00,1,15.0,15.0
FL.BKM.01,2022-09-26 04:05:00,2022-09-26 05:00:00,12,24.4,15.0
FL.BKM.01,2023-07-22 00:25:00,2023-07-22 04:10:00,46,39.4,15.0
FL.BKM.01,2023-07-22 04:20:00,2023-07-22 04:20:00,1,15.4,15.0
FL.BKM.01,2023-09-21 00:40:00,2023-09-21 00:55:00,4,17.0,15.0
FL.BKM.01,2024-05-19 20:55:00,2024-05-19 21:20:00,6,19.7,15.0
FL.BKM.01,2024-08-06 22:25:00,2024-08-06 22:40:00,4,17.9,15.0
FL.BKM.01,2024-08-20 00:30:00,2024-08-20 03:10:00,33,32.5,15.0
FL.BKM.01,2024-10-18 17:00:00,2024-10-18 17:15:00,4,18.0,15.0
FL.BKM.01,2025-04-15 18:05:00,2025-04-15 18:05:00,1,15.8,15.0
FL.BKM.01,2025-04-15 18:15:00,2025-04-15 18:15:00,1,15.5,15.0
FL.BKM.01,2025-05-10 18:00:00,2025-05-10 20:50:00,35,33.8,15.0
FL.BKM.01,2025-05-10 21:00:00,2025-05-10 21:10:00,3,16.5,15.0
FL.BKM.01,2025-05-10 21:20:00,2025-05-10 21:30:00,3,17.0,15.0
FL.BKM.01,2025-05-21 10:10:00,2025-05-21 11:10:00,13,21.9,15.0
