fold,test_year,model,target,horizon_h,threshold,constraints_met,n_rows,positives,alarms,tp,fp,fn,tn,precision,recall,f1,f2,false_negative_rate,false_positive_rate,specificity,alarms_per_hit,csi,pr_auc,roc_auc,base_rate,brier,onset_recall,onset_positives,ongoing_recall
3,2024,lightgbm,ge15,3,0.92704,False,3451352,662,464,140,324,522,3450366,0.3017,0.2115,0.2487,0.2249,0.7885,9.4e-05,0.9999,3.31,0.142,0.1599,0.9197,0.000192,0.001654,0.0543,552,1.0
3,2024,lightgbm,ge15,6,0.92787,False,3451352,1214,642,137,505,1077,3449633,0.2134,0.1129,0.1476,0.1246,0.8871,0.000146,0.9999,4.69,0.0797,0.0851,0.901,0.000352,0.005776,0.0245,1104,1.0
3,2024,lightgbm,ge30,1,1.0,True,3451352,43,26,17,9,26,3451300,0.6538,0.3953,0.4928,0.4293,0.6047,3e-06,1.0,1.53,0.3269,0.3385,0.9406,1.2e-05,0.006003,0.0714,28,1.0
3,2024,lightgbm,ge30,3,1.0,False,3451352,99,217,23,194,76,3451059,0.106,0.2323,0.1456,0.1876,0.7677,5.6e-05,0.9999,9.43,0.0785,0.1293,0.6791,2.9e-05,0.010438,0.0952,84,1.0
3,2024,lightgbm,ge30,6,0.16186,False,3451352,183,71,21,50,162,3451119,0.2958,0.1148,0.1654,0.1308,0.8852,1.4e-05,1.0,3.38,0.0901,0.0889,0.8105,5.3e-05,5.3e-05,0.0357,168,1.0
4,2025,lightgbm,ge5,1,0.92492,True,3348382,2798,2723,1570,1153,1228,3344431,0.5766,0.5611,0.5687,0.5641,0.4389,0.000345,0.9997,1.73,0.3974,0.5275,0.9673,0.000836,0.008831,0.099,1363,1.0
4,2025,lightgbm,ge5,3,0.92955,False,3348382,5445,2772,1569,1203,3876,3341734,0.566,0.2882,0.3819,0.3195,0.7118,0.00036,0.9996,1.77,0.236,0.2848,0.9226,0.001626,0.023427,0.0327,4007,1.0
4,2025,lightgbm,ge5,6,0.83301,False,3348382,9329,11834,1838,9996,7491,3329057,0.1553,0.197,0.1737,0.187,0.803,0.002994,0.997,6.44,0.0951,0.1752,0.8863,0.002786,0.034541,0.0502,7887,1.0
4,2025,lightgbm,ge15,1,0.04719,True,3348382,881,957,507,450,374,3347051,0.5298,0.5755,0.5517,0.5657,0.4245,0.000134,0.9999,1.89,0.3809,0.5006,0.95,0.000263,0.000164,0.1707,451,1.0
4,2025,lightgbm,ge15,3,0.85532,False,3348382,1770,1023,511,512,1259,3346100,0.4995,0.2887,0.3659,0.3153,0.7113,0.000153,0.9998,2.0,0.2239,0.2538,0.905,0.000529,0.001318,0.0604,1340,1.0
4,2025,lightgbm,ge15,6,0.90688,False,3348382,3087,1024,512,512,2575,3344783,0.5,0.1659,0.2491,0.1914,0.8341,0.000153,0.9998,2.0,0.1423,0.1561,0.8575,0.000922,0.004972,0.0301,2655,1.0
4,2025,lightgbm,ge30,1,1.0,False,3348382,130,144,63,81,67,3348171,0.4375,0.4846,0.4599,0.4744,0.5154,2.4e-05,1.0,2.29,0.2986,0.3946,0.8137,3.9e-05,0.006751,0.1067,75,1.0
4,2025,lightgbm,ge30,3,1.0,False,3348382,275,1310,87,1223,188,3346884,0.0664,0.3164,0.1098,0.1805,0.6836,0.000365,0.9996,15.06,0.0581,0.023,0.5993,8.2e-05,0.002041,0.1455,220,1.0
4,2025,lightgbm,ge30,6,0.80874,False,3348382,491,234,67,167,424,3347724,0.2863,0.1365,0.1848,0.1524,0.8635,5e-05,1.0,3.49,0.1018,0.1131,0.4131,0.000147,0.000331,0.0275,436,1.0
