station,rows,ts_min,ts_max,n_ts,name,n_wl_in,min_wl_in,max_wl_in,avg_wl_in,n_wl_out01,min_wl_out01,max_wl_out01,avg_wl_out01,n_wl_out02,min_wl_out02,max_wl_out02,avg_wl_out02,year,dataset
WL.BNA.03,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางนา ตอนถนนศรีนครินทร์,105120,-0.96,0.33,-0.4680891362,0,,,,0,,,,2019,water
WL.BNJ.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางนางจีน ตอนสถานีสูบน้ำบางนางจีน,104444,-1.54,-0.24,-0.8178532994,0,,,,0,,,,2019,water
WL.BNJ.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางนางจีน ตอนซอยสุขุมวิท 66/1,93927,-3.0,1.12,-1.1496392943,0,,,,0,,,,2019,water
WL.BNJ.03,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางนางจีน ตอนซอยสุขุมวิท 93,101039,-3.0,-0.11,-0.7601901246,0,,,,0,,,,2019,water
WL.BNJ.04,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางนางจีน ตอนถนนสุขุมวิท 101/1,104931,-1.68,-0.08,-0.9846726897,0,,,,0,,,,2019,water
WL.BOA.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,สถานีสูบน้ำ บางอ้อ,105120,-1.61,0.67,-0.8623714802,105120,-0.86,2.03,0.4217344939,0,,,,2019,water
WL.BOA.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางอ้อ ตอนซอยสุขุมวิท 64,96632,-1.47,0.03,-0.9739115407,0,,,,0,,,,2019,water
WL.BPA.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบ้านป่า ตอนถนนพัฒนาการ,104782,-0.78,0.12,-0.4416697524,0,,,,0,,,,2019,water
WL.BPM.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางพรม ตอนคลองชักพระ,105120,-0.44,0.82,0.3950774353,0,,,,0,,,,2019,water
WL.BPM.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางพรม ตอนถนนฉิมพลี,105120,-0.1,0.81,0.4132432458,0,,,,0,,,,2019,water
WL.BPM.03,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางพรม ตอนถนนกาญจนาภิเษก,105120,0.07,0.82,0.4491900685,0,,,,0,,,,2019,water
WL.BPM.04,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางพรม ตอนถนนพุทธมณฑลสาย 3,105120,0.15,0.84,0.4806956811,0,,,,0,,,,2019,water
WL.BPN.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางพราน ตอนถนนบางบอน 1,63373,-3.0,0.44,-0.0197334827,0,,,,0,,,,2019,water
WL.BPN.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางพราน ตอนถนนบางบอน 2,104969,-0.12,0.76,0.1665172575,0,,,,0,,,,2019,water
WL.BPU.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดสถานตากอากาศบางปู,105120,-0.3,1.78,0.3189714612,0,,,,0,,,,2019,water
WL.BSK.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,สถานีสูบน้ำ คลองบางไส้ไก่,105120,-1.32,0.69,0.0453819444,105120,-0.74,1.83,0.3867183219,0,,,,2019,water
WL.BSU.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,สถานีสูบน้ำ คลองบางซื่อ,105120,-0.81,0.21,-0.3402651256,105120,-0.95,1.57,0.4178697679,0,,,,2019,water
WL.BSU.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางซื่อ ช่วงถนนพระรามที่ 5,105120,-0.97,0.43,-0.3426634323,0,,,,0,,,,2019,water
WL.BSU.03,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางซื่อ ตอนถนนพระรามที่ 6,97287,-1.25,3.55,-0.0323850052,0,,,,0,,,,2019,water
WL.BSU.04,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางซื่อ ช่วงถนนพหลโยธิน,105120,-0.9,0.86,-0.1415226408,0,,,,0,,,,2019,water
WL.BSU.05,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางซื่อ ช่วงถนนวิภาวดีรังสิต,105120,-1.54,0.65,-0.3487976598,0,,,,0,,,,2019,water
WL.BSU.06,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางซื่อ ช่วงถนนรัชดาภิเษก (เจ้าพระยาปาร์ค),105120,-1.26,1.08,-0.0894300799,0,,,,0,,,,2019,water
WL.BTL.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางตลาด ตอนท่าทราย,104976,0.07,1.23,0.3707400739,0,,,,0,,,,2019,water
WL.BTY.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางเตย ตอนถนนนวมินทร์ 66/3,104965,-0.43,0.75,-0.0016784642,0,,,,0,,,,2019,water
WL.BWK.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางแวก ตอนคลองบางกอกใหญ่,105120,-0.27,0.79,0.3639181887,0,,,,0,,,,2019,water
WL.BWK.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางแวก ตอนถนนพุทธมณฑลสาย 1,105120,0.23,1.08,0.6230571728,0,,,,0,,,,2019,water
WL.BWK.03,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางแวก ตอนคลองทวีวัฒนา,105120,0.18,1.57,0.4778185883,0,,,,0,,,,2019,water
WL.BYI.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบึงใหญ่ ตอนวัดทองสัมฤทธิ์,105120,-0.72,0.69,-0.2038230594,0,,,,0,,,,2019,water
WL.BYK.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางยี่ขัน ตอนถนนจรัญสนิทวงศ์,72629,-3.0,0.93,0.1838714563,0,,,,0,,,,2019,water
WL.BYK.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบางยี่ขัน ตอนสถานีสูบน้ำคลองบางยี่ขัน,86947,-1.35,0.83,0.1039220445,0,,,,0,,,,2019,water
WL.CBJ.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองชวดบางจาก ตอนถนนประชาอุทิศ,94053,-1.0,0.63,-0.5199937269,0,,,,0,,,,2019,water
WL.CKS.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,สถานีสูบน้ำ คลองเจ้าคุณสิงห์,105120,-1.34,-0.1,-0.7639710807,0,,,,0,,,,2019,water
WL.CKS.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองเจ้าคุณสิงห์ ตอนถนนลาดพร้าว,73309,-2.54,0.53,-0.5557186703,0,,,,0,,,,2019,water
WL.CNS.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,สถานีสูบน้ำ คลองช่องนนทรี,105120,-2.44,0.37,-0.643726503,105120,-1.56,1.88,0.26399629,0,,,,2019,water
WL.CNS.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองช่องนนทรี ตอนถนนนราธิวาสราชนครินทร์,80843,-1.38,0.21,-0.6972395878,0,,,,0,,,,2019,water
WL.CNS.03,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองช่องนนทรี ตอนถนนจันทน์,104441,-3.0,0.43,-0.6668242357,0,,,,0,,,,2019,water
WL.CNS.04,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองช่องนนทรี ตอนถนนสาทรใต้,69883,-3.0,0.33,-0.5968301304,0,,,,0,,,,2019,water
WL.CPA.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,สถานีสูบน้ำ คลองชักพระ,105120,-1.05,0.8,0.3342981355,105120,-1.1,1.33,0.4816796994,0,,,,2019,water
WL.CTC.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองชวดตาเชียง ตอนสถานีสูบน้ำคลองชวดตาเชียง,102371,-0.98,0.24,-0.5058044759,0,,,,0,,,,2019,water
WL.CYI.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองชวดใหญ่ ตอนถนนพระราม 9 ซอย 13,104963,-0.92,0.22,-0.4266510104,0,,,,0,,,,2019,water
WL.CYI.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองชวดใหญ่ ตอนถนนพระราม 9,101666,-1.07,0.12,-0.5618659139,0,,,,0,,,,2019,water
WL.DKN.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,สถานีสูบน้ำ ดาวคะนอง,105120,-1.22,0.89,0.110505898,105120,-1.53,1.83,0.3519988584,0,,,,2019,water
WL.FTM.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองโบสถ์แม่พระ ตอนถนนดินแดง,65126,-1.38,0.08,-0.590728127,0,,,,0,,,,2019,water
WL.HKG.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองห้วยขวาง ตอนถนนประชาสงเคราะห์,75310,-2.08,0.28,-0.6915421591,0,,,,0,,,,2019,water
WL.HKG.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองห้วยขวาง ตอนถนนเทียมร่วมมิตร,101402,-1.17,0.04,-0.7514958285,0,,,,0,,,,2019,water
WL.HMK.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองหัวหมาก ตอนถนนศรีนครินทร์,102764,-0.76,-0.17,-0.48093126,0,,,,0,,,,2019,water
WL.IDE.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดบ่อสูบน้ำอินโดนีเซีย,0,,,,0,,,,0,,,,2019,water
WL.JRN.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,สถานีสูบน้ำ คลองแจงร้อน,105120,-1.83,0.97,0.0308250571,105120,-1.51,1.91,0.353291191,0,,,,2019,water
WL.KBU.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ประตูระบายน้ำ คลองบัว ตอนทางรถไฟสายใต้,105120,-2.06,1.98,0.4111398402,105120,-0.86,1.48,0.4931714231,0,,,,2019,water
WL.KBU.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองบัว ตอนถนนพุทธมณฑลสาย 1,102820,-0.18,0.78,0.3494149971,0,,,,0,,,,2019,water
WL.KDN.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ประตูระบายน้ำ คลองวัดด่าน,105120,-1.61,1.78,-0.3523388508,105120,-1.16,1.79,0.3417209855,0,,,,2019,water
WL.KJA.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองกะจะ ตอนถนนพระราม 9,95296,-3.0,2.08,1.2927117612,0,,,,0,,,,2019,water
WL.KJA.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองกะจะ ตอนถนนพระราม 9 ซอย 57,104059,-2.98,1.31,0.3649772725,0,,,,0,,,,2019,water
WL.KJG.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองจิก ตอนถนนหัวหมาก,104976,-1.37,-0.07,-0.6874160761,0,,,,0,,,,2019,water
WL.KJK.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,สถานีสูบน้ำ คลองเจ็ก,105120,-1.32,-0.21,-0.9059449201,105120,-1.39,1.87,0.2665814307,0,,,,2019,water
WL.KJK.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองเจ็ก ตอนถนนสุขุมวิท 60/1,100180,-1.47,0.28,-0.8272048313,0,,,,0,,,,2019,water
WL.KJN.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองจั่น ตอนถนนลาดพร้าว,104970,-0.77,0.36,-0.2560781176,0,,,,0,,,,2019,water
WL.KJN.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,จุดวัดคลองจั่น ตอนถนนโยธินพัฒนา,102222,-0.75,0.46,-0.4299504021,0,,,,0,,,,2019,water
WL.KJT.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,"""จุดวัดคลองจิต ตอนซอยลาดพร้าว 122 """,99479,-3.0,-0.29,-1.2204314478,0,,,,0,,,,2019,water
