station,rows,ts_min,ts_max,n_ts,name,n_flood,min_flood,max_flood,avg_flood,n_ge5,n_ge15,n_ge30,n_gt0,n_neg,year,dataset
FL.DDG.04,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.รัชดาภิเษก ช่วงคลองบางซื่อ,105120,0.0,7.4,0.0031078767,9,0,0,117,0,2019,flood
FL.DDG.05,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.รัชดาภิเษก สถานฑูตจีน,105120,0.0,21.9,0.0061805556,31,11,0,1830,0,2019,flood
FL.DDG.06,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.ประชาสุข ซ.อินทามระ 53,105120,0.0,48.9,0.0256697108,100,63,48,144,0,2019,flood
FL.DDG.07,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.วิภาวดี(ขาออก) ช่วงกรมทหารราบที่ 1,105120,0.0,26.8,0.0064126712,23,16,0,1749,0,2019,flood
FL.DDG.08,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.ดินแดง ช่วงโรงเรียนพิบูลประชาสรรค์,105120,0.0,18.0,0.0442589422,14,5,0,14160,0,2019,flood
FL.DST.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.พิษณุโลก ช่วงบ้านพิษณุโลก,105120,0.0,3.8,0.0219492009,0,0,0,1337,0,2019,flood
FL.DST.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.สามเสน ช่วงแยกเกียกกาย,105120,0.0,6.3,5.99315e-05,1,0,0,1,0,2019,flood
FL.DST.03,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.ศรีอยุธยา ลานพระราชวังดุสิต,105120,0.0,13.0,0.1255393836,1025,0,0,2744,0,2019,flood
FL.DST.04,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.ราชสีมา แยกอู่ทองนอก,105120,0.0,29.6,0.0005488965,2,2,0,2,0,2019,flood
FL.DST.05,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.นครไชยศรี (กรมสรรพสามิต),105120,0.0,6.1,0.001016933,4,0,0,34,0,2019,flood
FL.DST.06,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.ราชวิถี เชิงสะพานกรุงธนบุรี,105120,0.0,0.0,0.0,0,0,0,0,0,2019,flood
FL.DST.07,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.นครไชยศรี ช่วงตลาดศรีย่าน,105120,0.0,0.4,0.0123696728,0,0,0,9835,0,2019,flood
FL.HKG.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.เพชรบุรีตัดใหม่ ช่วงสิงห์คอมเพล็กซ์,105120,0.0,30.1,0.0023011796,17,4,1,28,0,2019,flood
FL.JTG.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.จอมทอง ช่วงแยกจอมทอง,105120,0.0,0.0,0.0,0,0,0,0,0,2019,flood
FL.KSN.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.ลาดหญ้า วงเวียนใหญ่,105120,0.0,8.9,0.0020338661,6,0,0,103,0,2019,flood
FL.KTY.01,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ถ.พระรามที่ 3 ช่วงตลาดฮ่องกง-ปีนัง,105120,0.0,2.5,0.0035597412,0,0,0,274,0,2019,flood
FL.KTY.02,105120,2019-01-01T00:00:00.000,2019-12-31T23:55:00.000,105120,ซ.สุขุมวิท 22 (ด้านถนนพระรามที่ 4),105120,0.0,0.0,0.0,0,0,0,0,0,2019,flood
