target,station,pos,tp,fp,fn
ge15_1h,FL.BNA.05,0,0,0,0
ge15_1h,FL.BRK.01,0,0,1,0
ge15_1h,FL.BRK.02,0,0,0,0
ge15_1h,FL.BSU.01,0,0,0,0
ge15_1h,FL.CTC.01,18,13,2,5
ge15_1h,FL.CTC.02,0,0,0,0
ge15_1h,FL.CTC.03,34,24,3,10
ge15_1h,FL.CTC.04,43,24,8,19
ge15_1h,FL.CTC.05,16,10,1,6
ge15_1h,FL.CTC.06,0,0,0,0
ge15_1h,FL.CTC.07,40,29,4,11
ge15_1h,FL.DDG.01,23,9,7,14
ge15_1h,FL.DDG.02,41,23,8,18
ge15_1h,FL.DDG.03,6,3,1,3
ge15_1h,FL.DDG.04,0,0,0,0
ge15_1h,FL.DDG.05,8,4,2,4
ge15_1h,FL.DDG.06,0,0,0,0
ge15_1h,FL.DDG.07,6,2,1,4
ge15_1h,FL.DDG.08,0,0,4,0
ge15_1h,FL.DST.03,0,0,0,0
ge15_1h,FL.DST.04,0,0,0,0
ge15_1h,FL.DST.06,0,0,0,0
ge15_1h,FL.DST.07,0,0,0,0
ge15_1h,FL.DST.08,0,0,0,0
ge15_1h,FL.HKG.01,9,4,3,5
ge15_1h,FL.JTG.01,8,4,0,4
ge15_1h,FL.KSN.01,0,0,0,0
ge15_1h,FL.KTY.01,0,0,0,0
ge15_1h,FL.KTY.02,4,1,1,3
ge15_1h,FL.KTY.03,5,3,0,2
ge15_1h,FL.KTY.04,0,0,0,0
ge15_1h,FL.KTY.05,0,0,0,0
ge15_1h,FL.LSI.02,30,17,7,13
ge15_1h,FL.LSI.03,0,0,5,0
ge15_1h,FL.LSI.04,5,2,19,3
ge15_1h,FL.LSI.05,0,0,1,0
ge15_1h,FL.LSI.06,0,0,2,0
ge15_1h,FL.MBR.01,0,0,0,0
ge15_1h,FL.PKN.01,0,0,0,0
ge15_1h,FL.PNK.02,0,0,0,0
ge15_1h,FL.PPS.01,7,0,3,7
ge15_1h,FL.PPS.02,0,0,0,0
ge15_1h,FL.PTW.01,10,7,0,3
ge15_1h,FL.PTW.02,8,5,0,3
ge15_1h,FL.PTW.03,0,0,0,0
ge15_1h,FL.PTW.05,14,10,2,4
ge15_1h,FL.PWT.01,0,0,0,0
ge15_1h,FL.PWT.02,20,16,19,4
ge15_1h,FL.PYT.01,16,9,3,7
ge15_1h,FL.PYT.02,22,15,3,7
ge15_1h,FL.PYT.03,0,0,0,0
ge15_1h,FL.PYT.04,6,2,1,4
ge15_1h,FL.PYT.05,16,10,2,6
ge15_1h,FL.PYT.06,18,11,1,7
ge15_1h,FL.PYT.07,9,2,2,7
ge15_1h,FL.RTW.01,0,0,1,0
ge15_1h,FL.RTW.02,0,0,0,0
ge15_1h,FL.RTW.03,0,0,0,0
ge15_1h,FL.RTW.04,7,4,1,3
ge15_1h,FL.RTW.05,9,1,2,8
ge15_1h,FL.RTW.06,0,0,0,0
ge15_1h,FL.RTW.07,8,2,7,6
ge15_1h,FL.RTW.08,27,16,1,11
ge15_1h,FL.RTW.09,22,11,11,11
ge15_1h,FL.RTW.10,8,4,2,4
ge15_1h,FL.RTW.11,8,2,4,6
ge15_1h,FL.RTW.12,6,3,3,3
ge15_1h,FL.SLG.01,0,0,4,0
ge15_1h,FL.SLG.02,0,0,3,0
ge15_1h,FL.SLG.03,33,21,7,12
ge15_1h,FL.SMI.01,61,25,21,36
ge15_1h,FL.SPW.01,0,0,3,0
ge15_1h,FL.SPW.02,0,0,0,0
ge15_1h,FL.STN.01,13,6,2,7
ge15_1h,FL.STN.02,0,0,2,0
ge15_1h,FL.STN.03,32,18,9,14
ge15_1h,FL.STN.04,0,0,0,0
ge15_1h,FL.WTL.01,0,0,1,0
ge15_1h,FL.WTL.02,0,0,1,0
ge15_1h,FL.WTL.03,0,0,0,0
ge15_1h,FL.WTL.04,10,7,2,3
ge15_1h,FL.WTN.01,2,0,5,2
ge15_1h,FL.WTN.02,0,0,0,0
ge15_1h,FL.WTN.03,0,0,0,0
ge30_1h,FL.BBN.01,0,0,1,0
ge30_1h,FL.BBN.02,0,0,1,0
ge30_1h,FL.BKA.02,0,0,16,0
ge30_1h,FL.BKE.01,0,0,3,0
ge30_1h,FL.BKE.02,0,0,8,0
ge30_1h,FL.BKM.01,7,5,45,2
ge30_1h,FL.BKM.02,0,0,8,0
ge30_1h,FL.BKN.01,0,0,22,0
ge30_1h,FL.BKN.02,0,0,5,0
ge30_1h,FL.BKP.01,0,0,11,0
ge30_1h,FL.BKP.02,0,0,11,0
ge30_1h,FL.BKT.01,0,0,0,0
ge30_1h,FL.BNA.01,0,0,2,0
ge30_1h,FL.BNA.02,0,0,4,0
ge30_1h,FL.BNA.03,0,0,17,0
ge30_1h,FL.BNA.04,0,0,23,0
ge30_1h,FL.BNA.05,0,0,3,0
ge30_1h,FL.BRK.01,0,0,8,0
ge30_1h,FL.BRK.02,0,0,5,0
ge30_1h,FL.BSU.01,0,0,6,0
ge30_1h,FL.CTC.01,0,0,5,0
ge30_1h,FL.CTC.02,0,0,3,0
ge30_1h,FL.CTC.03,8,6,33,2
ge30_1h,FL.CTC.04,0,0,13,0
ge30_1h,FL.CTC.05,0,0,6,0
ge30_1h,FL.CTC.06,0,0,12,0
ge30_1h,FL.CTC.07,20,14,43,6
ge30_1h,FL.DDG.01,0,0,38,0
ge30_1h,FL.DDG.02,10,5,49,5
ge30_1h,FL.DDG.03,0,0,19,0
ge30_1h,FL.DDG.04,0,0,12,0
ge30_1h,FL.DDG.05,0,0,17,0
ge30_1h,FL.DDG.06,0,0,19,0
ge30_1h,FL.DDG.07,0,0,16,0
ge30_1h,FL.DDG.08,0,0,12,0
ge30_1h,FL.DST.03,0,0,3,0
ge30_1h,FL.DST.04,0,0,3,0
ge30_1h,FL.DST.06,0,0,5,0
ge30_1h,FL.DST.07,0,0,3,0
ge30_1h,FL.DST.08,0,0,9,0
ge30_1h,FL.HKG.01,0,0,18,0
ge30_1h,FL.JTG.01,0,0,5,0
ge30_1h,FL.KSN.01,0,0,9,0
ge30_1h,FL.KTY.01,0,0,3,0
ge30_1h,FL.KTY.02,0,0,4,0
ge30_1h,FL.KTY.03,0,0,5,0
ge30_1h,FL.KTY.04,0,0,5,0
ge30_1h,FL.KTY.05,0,0,3,0
ge30_1h,FL.LSI.02,0,0,15,0
ge30_1h,FL.LSI.03,0,0,11,0
ge30_1h,FL.LSI.04,0,0,19,0
ge30_1h,FL.LSI.05,0,0,12,0
ge30_1h,FL.LSI.06,0,0,10,0
ge30_1h,FL.MBR.01,0,0,3,0
ge30_1h,FL.PKN.01,0,0,4,0
ge30_1h,FL.PNK.02,0,0,7,0
ge30_1h,FL.PPS.01,0,0,16,0
ge30_1h,FL.PPS.02,0,0,7,0
ge30_1h,FL.PTW.01,4,3,18,1
ge30_1h,FL.PTW.02,0,0,7,0
ge30_1h,FL.PTW.03,0,0,4,0
ge30_1h,FL.PTW.05,7,6,15,1
ge30_1h,FL.PWT.01,0,0,7,0
ge30_1h,FL.PWT.02,0,0,32,0
ge30_1h,FL.PYT.01,0,0,8,0
ge30_1h,FL.PYT.02,6,4,38,2
ge30_1h,FL.PYT.03,0,0,8,0
ge30_1h,FL.PYT.04,0,0,9,0
ge30_1h,FL.PYT.05,0,0,9,0
ge30_1h,FL.PYT.06,0,0,20,0
ge30_1h,FL.PYT.07,0,0,10,0
ge30_1h,FL.RTW.01,0,0,7,0
ge30_1h,FL.RTW.02,0,0,4,0
ge30_1h,FL.RTW.03,0,0,0,0
ge30_1h,FL.RTW.04,0,0,10,0
ge30_1h,FL.RTW.05,0,0,7,0
ge30_1h,FL.RTW.06,0,0,4,0
ge30_1h,FL.RTW.07,0,0,9,0
ge30_1h,FL.RTW.08,8,6,21,2
ge30_1h,FL.RTW.09,0,0,24,0
ge30_1h,FL.RTW.10,5,3,18,2
ge30_1h,FL.RTW.11,0,0,8,0
ge30_1h,FL.RTW.12,0,0,15,0
ge30_1h,FL.SLG.01,0,0,18,0
ge30_1h,FL.SLG.02,0,0,2,0
ge30_1h,FL.SLG.03,6,5,29,1
ge30_1h,FL.SMI.01,24,17,39,7
ge30_1h,FL.SPW.01,0,0,12,0
ge30_1h,FL.SPW.02,0,0,21,0
ge30_1h,FL.STN.01,4,2,15,2
ge30_1h,FL.STN.02,0,0,7,0
ge30_1h,FL.STN.03,8,4,29,4
ge30_1h,FL.STN.04,0,0,6,0
ge30_1h,FL.WTL.01,0,0,8,0
ge30_1h,FL.WTL.02,0,0,9,0
ge30_1h,FL.WTL.03,0,0,17,0
ge30_1h,FL.WTL.04,0,0,8,0
ge30_1h,FL.WTN.01,2,0,13,2
ge30_1h,FL.WTN.02,0,0,8,0
ge30_1h,FL.WTN.03,0,0,0,0
ge5_3h,FL.BBN.01,105,29,57,76
ge5_3h,FL.BBN.02,76,19,16,57
ge5_3h,FL.BKA.02,13,3,23,10
ge5_3h,FL.BKE.01,28,6,40,22
ge5_3h,FL.BKE.02,55,9,3,46
ge5_3h,FL.BKM.01,204,53,51,151
ge5_3h,FL.BKM.02,38,17,10,21
ge5_3h,FL.BKN.01,67,15,39,52
ge5_3h,FL.BKN.02,0,0,22,0
ge5_3h,FL.BKP.01,0,0,0,0
ge5_3h,FL.BKP.02,36,1,39,35
ge5_3h,FL.BKT.01,0,0,0,0
ge5_3h,FL.BNA.01,28,8,17,20
ge5_3h,FL.BNA.02,44,32,4,12
ge5_3h,FL.BNA.03,24,17,277,7
ge5_3h,FL.BNA.04,230,91,141,139
ge5_3h,FL.BNA.05,0,0,30,0
ge5_3h,FL.BRK.01,25,3,40,22
ge5_3h,FL.BRK.02,0,0,3,0
ge5_3h,FL.BSU.01,0,0,10,0
ge5_3h,FL.CTC.01,46,23,6,23
ge5_3h,FL.CTC.02,0,0,27,0
ge5_3h,FL.CTC.03,62,27,4,35
ge5_3h,FL.CTC.04,133,58,37,75
ge5_3h,FL.CTC.05,37,15,4,22
ge5_3h,FL.CTC.06,56,13,129,43
ge5_3h,FL.CTC.07,93,37,29,56
ge5_3h,FL.DDG.01,127,33,143,94
ge5_3h,FL.DDG.02,133,44,46,89
ge5_3h,FL.DDG.03,55,9,18,46
ge5_3h,FL.DDG.04,0,0,0,0
ge5_3h,FL.DDG.05,60,16,11,44
ge5_3h,FL.DDG.06,14,4,89,10
ge5_3h,FL.DDG.07,15,4,3,11
ge5_3h,FL.DDG.08,108,37,8,71
ge5_3h,FL.DST.03,0,0,13,0
ge5_3h,FL.DST.04,0,0,0,0
ge5_3h,FL.DST.06,41,7,26,34
ge5_3h,FL.DST.07,0,0,2,0
ge5_3h,FL.DST.08,49,3,6,46
ge5_3h,FL.HKG.01,116,21,22,95
ge5_3h,FL.JTG.01,31,8,9,23
ge5_3h,FL.KSN.01,75,18,13,57
ge5_3h,FL.KTY.01,0,0,3,0
ge5_3h,FL.KTY.02,32,10,18,22
ge5_3h,FL.KTY.03,31,8,13,23
ge5_3h,FL.KTY.04,16,5,63,11
ge5_3h,FL.KTY.05,0,0,15,0
ge5_3h,FL.LSI.02,127,55,75,72
ge5_3h,FL.LSI.03,81,20,114,61
ge5_3h,FL.LSI.04,100,21,119,79
ge5_3h,FL.LSI.05,41,9,49,32
ge5_3h,FL.LSI.06,90,46,11,44
ge5_3h,FL.MBR.01,0,0,0,0
ge5_3h,FL.PKN.01,12,0,0,12
ge5_3h,FL.PNK.02,0,0,3,0
ge5_3h,FL.PPS.01,98,19,40,79
ge5_3h,FL.PPS.02,0,0,0,0
ge5_3h,FL.PTW.01,50,14,6,36
ge5_3h,FL.PTW.02,31,8,7,23
ge5_3h,FL.PTW.03,14,3,1,11
ge5_3h,FL.PTW.05,49,14,8,35
ge5_3h,FL.PWT.01,15,4,3,11
ge5_3h,FL.PWT.02,308,121,190,187
ge5_3h,FL.PYT.01,40,17,2,23
ge5_3h,FL.PYT.02,148,59,13,89
ge5_3h,FL.PYT.03,31,8,1,23
ge5_3h,FL.PYT.04,31,7,2,24
ge5_3h,FL.PYT.05,41,17,1,24
ge5_3h,FL.PYT.06,51,15,2,36
ge5_3h,FL.PYT.07,45,10,5,35
ge5_3h,FL.RTW.01,0,0,10,0
ge5_3h,FL.RTW.02,0,0,0,0
ge5_3h,FL.RTW.03,0,0,0,0
ge5_3h,FL.RTW.04,72,26,5,46
ge5_3h,FL.RTW.05,46,10,12,36
ge5_3h,FL.RTW.06,0,0,4,0
ge5_3h,FL.RTW.07,49,13,21,36
ge5_3h,FL.RTW.08,77,19,7,58
ge5_3h,FL.RTW.09,197,55,90,142
ge5_3h,FL.RTW.10,52,10,50,42
ge5_3h,FL.RTW.11,44,10,18,34
ge5_3h,FL.RTW.12,77,20,58,57
ge5_3h,FL.SLG.01,166,39,29,127
ge5_3h,FL.SLG.02,0,0,8,0
ge5_3h,FL.SLG.03,130,41,93,89
ge5_3h,FL.SMI.01,176,41,106,135
ge5_3h,FL.SPW.01,54,8,14,46
ge5_3h,FL.SPW.02,136,24,30,112
ge5_3h,FL.STN.01,58,12,5,46
ge5_3h,FL.STN.02,14,2,3,12
ge5_3h,FL.STN.03,86,28,11,58
ge5_3h,FL.STN.04,0,0,21,0
ge5_3h,FL.WTL.01,21,6,3,15
ge5_3h,FL.WTL.02,12,1,75,11
ge5_3h,FL.WTL.03,106,60,7,46
ge5_3h,FL.WTL.04,35,24,2,11
ge5_3h,FL.WTN.01,3,0,7,3
ge5_3h,FL.WTN.02,13,2,1,11
ge5_3h,FL.WTN.03,0,0,2,0
ge15_3h,FL.BBN.01,31,8,3,23
ge15_3h,FL.BBN.02,33,11,3,22
ge15_3h,FL.BKA.02,0,0,0,0
ge15_3h,FL.BKE.01,0,0,0,0
ge15_3h,FL.BKE.02,14,2,5,12
ge15_3h,FL.BKM.01,79,22,20,57
ge15_3h,FL.BKM.02,29,6,4,23
ge15_3h,FL.BKN.01,12,1,1,11
ge15_3h,FL.BKN.02,0,0,0,0
ge15_3h,FL.BKP.01,0,0,0,0
ge15_3h,FL.BKP.02,0,0,0,0
ge15_3h,FL.BKT.01,0,0,0,0
ge15_3h,FL.BNA.01,0,0,0,0
ge15_3h,FL.BNA.02,0,0,5,0
ge15_3h,FL.BNA.03,21,10,2,11
ge15_3h,FL.BNA.04,104,26,15,78
ge15_3h,FL.BNA.05,0,0,0,0
ge15_3h,FL.BRK.01,0,0,2,0
