target,station,pos,tp,fp,fn
ge30_3h,FL.RTW.12,0,0,47,0
ge30_3h,FL.SLG.01,0,0,48,0
ge30_3h,FL.SLG.02,0,0,0,0
ge30_3h,FL.SLG.03,14,5,75,9
ge30_3h,FL.SMI.01,40,17,117,23
ge30_3h,FL.SPW.01,0,0,13,0
ge30_3h,FL.SPW.02,0,0,34,0
ge30_3h,FL.STN.01,12,2,14,10
ge30_3h,FL.STN.02,0,0,58,0
ge30_3h,FL.STN.03,24,5,126,19
ge30_3h,FL.STN.04,0,0,5,0
ge30_3h,FL.WTL.01,0,0,6,0
ge30_3h,FL.WTL.02,0,0,3,0
ge30_3h,FL.WTL.03,0,0,32,0
ge30_3h,FL.WTL.04,0,0,17,0
ge30_3h,FL.WTN.01,3,0,4,3
ge30_3h,FL.WTN.02,0,0,7,0
ge30_3h,FL.WTN.03,0,0,1,0
ge5_6h,FL.BBN.01,189,33,111,156
ge5_6h,FL.BBN.02,136,19,8,117
ge5_6h,FL.BKA.02,25,3,2,22
ge5_6h,FL.BKE.01,52,4,19,48
ge5_6h,FL.BKE.02,103,9,3,94
ge5_6h,FL.BKM.01,360,53,34,307
ge5_6h,FL.BKM.02,62,16,10,46
ge5_6h,FL.BKN.01,127,11,29,116
ge5_6h,FL.BKN.02,0,0,6,0
ge5_6h,FL.BKP.01,0,0,0,0
ge5_6h,FL.BKP.02,72,1,24,71
ge5_6h,FL.BKT.01,0,0,0,0
ge5_6h,FL.BNA.01,52,4,1,48
ge5_6h,FL.BNA.02,56,32,4,24
ge5_6h,FL.BNA.03,36,17,78,19
ge5_6h,FL.BNA.04,375,80,110,295
ge5_6h,FL.BNA.05,0,0,3,0
ge5_6h,FL.BRK.01,49,1,23,48
ge5_6h,FL.BRK.02,0,0,0,0
ge5_6h,FL.BSU.01,0,0,5,0
ge5_6h,FL.CTC.01,70,23,2,47
ge5_6h,FL.CTC.02,0,0,0,0
ge5_6h,FL.CTC.03,98,27,7,71
ge5_6h,FL.CTC.04,193,60,24,133
ge5_6h,FL.CTC.05,61,15,8,46
ge5_6h,FL.CTC.06,104,12,123,92
ge5_6h,FL.CTC.07,153,35,15,118
ge5_6h,FL.DDG.01,225,32,161,193
ge5_6h,FL.DDG.02,219,42,53,177
ge5_6h,FL.DDG.03,103,8,4,95
ge5_6h,FL.DDG.04,0,0,0,0
ge5_6h,FL.DDG.05,108,17,23,91
ge5_6h,FL.DDG.06,26,2,73,24
ge5_6h,FL.DDG.07,27,4,9,23
ge5_6h,FL.DDG.08,180,38,11,142
ge5_6h,FL.DST.03,0,0,2,0
ge5_6h,FL.DST.04,0,0,0,0
ge5_6h,FL.DST.06,77,6,22,71
ge5_6h,FL.DST.07,0,0,0,0
ge5_6h,FL.DST.08,97,2,4,95
ge5_6h,FL.HKG.01,212,21,64,191
ge5_6h,FL.JTG.01,55,8,4,47
ge5_6h,FL.KSN.01,135,17,11,118
ge5_6h,FL.KTY.01,0,0,1,0
ge5_6h,FL.KTY.02,56,10,3,46
ge5_6h,FL.KTY.03,55,8,5,47
ge5_6h,FL.KTY.04,28,6,29,22
ge5_6h,FL.KTY.05,0,0,4,0
ge5_6h,FL.LSI.02,199,56,50,143
ge5_6h,FL.LSI.03,153,20,122,133
ge5_6h,FL.LSI.04,184,23,114,161
ge5_6h,FL.LSI.05,77,7,42,70
ge5_6h,FL.LSI.06,138,45,11,93
ge5_6h,FL.MBR.01,0,0,0,0
ge5_6h,FL.PKN.01,24,0,0,24
ge5_6h,FL.PNK.02,0,0,0,0
ge5_6h,FL.PPS.01,182,18,33,164
ge5_6h,FL.PPS.02,0,0,0,0
ge5_6h,FL.PTW.01,86,14,6,72
ge5_6h,FL.PTW.02,55,7,5,48
ge5_6h,FL.PTW.03,26,3,1,23
ge5_6h,FL.PTW.05,85,14,5,71
ge5_6h,FL.PWT.01,27,3,2,24
ge5_6h,FL.PWT.02,524,126,211,398
ge5_6h,FL.PYT.01,64,17,1,47
ge5_6h,FL.PYT.02,238,61,339,177
ge5_6h,FL.PYT.03,55,8,1,47
ge5_6h,FL.PYT.04,55,7,3,48
ge5_6h,FL.PYT.05,65,17,1,48
ge5_6h,FL.PYT.06,87,15,2,72
ge5_6h,FL.PYT.07,81,10,6,71
ge5_6h,FL.RTW.01,0,0,23,0
ge5_6h,FL.RTW.02,0,0,0,0
ge5_6h,FL.RTW.03,0,0,0,0
ge5_6h,FL.RTW.04,120,26,10,94
ge5_6h,FL.RTW.05,82,10,17,72
ge5_6h,FL.RTW.06,0,0,0,0
ge5_6h,FL.RTW.07,85,13,27,72
ge5_6h,FL.RTW.08,137,19,20,118
ge5_6h,FL.RTW.09,353,59,298,294
ge5_6h,FL.RTW.10,100,8,58,92
ge5_6h,FL.RTW.11,80,10,22,70
ge5_6h,FL.RTW.12,137,19,43,118
ge5_6h,FL.SLG.01,298,60,83,238
ge5_6h,FL.SLG.02,0,0,11,0
ge5_6h,FL.SLG.03,211,42,57,169
ge5_6h,FL.SMI.01,313,37,124,276
ge5_6h,FL.SPW.01,102,8,22,94
ge5_6h,FL.SPW.02,256,23,17,233
ge5_6h,FL.STN.01,106,11,4,95
ge5_6h,FL.STN.02,26,2,26,24
ge5_6h,FL.STN.03,146,28,21,118
ge5_6h,FL.STN.04,0,0,40,0
ge5_6h,FL.WTL.01,33,6,3,27
ge5_6h,FL.WTL.02,24,0,66,24
ge5_6h,FL.WTL.03,154,60,4,94
ge5_6h,FL.WTL.04,47,24,2,23
ge5_6h,FL.WTN.01,5,0,3,5
ge5_6h,FL.WTN.02,25,2,2,23
ge5_6h,FL.WTN.03,0,0,4,0
ge15_6h,FL.BBN.01,55,8,4,47
ge15_6h,FL.BBN.02,57,11,2,46
ge15_6h,FL.BKA.02,0,0,0,0
ge15_6h,FL.BKE.01,0,0,2,0
ge15_6h,FL.BKE.02,26,2,1,24
ge15_6h,FL.BKM.01,139,22,13,117
ge15_6h,FL.BKM.02,53,6,3,47
ge15_6h,FL.BKN.01,24,1,2,23
ge15_6h,FL.BKN.02,0,0,0,0
ge15_6h,FL.BKP.01,0,0,0,0
ge15_6h,FL.BKP.02,0,0,0,0
ge15_6h,FL.BKT.01,0,0,0,0
ge15_6h,FL.BNA.01,0,0,0,0
ge15_6h,FL.BNA.02,0,0,4,0
ge15_6h,FL.BNA.03,33,11,2,22
ge15_6h,FL.BNA.04,188,24,10,164
ge15_6h,FL.BNA.05,0,0,0,0
ge15_6h,FL.BRK.01,0,0,2,0
ge15_6h,FL.BRK.02,0,0,0,0
ge15_6h,FL.BSU.01,0,0,0,0
ge15_6h,FL.CTC.01,58,13,6,45
ge15_6h,FL.CTC.02,0,0,0,0
ge15_6h,FL.CTC.03,94,24,3,70
ge15_6h,FL.CTC.04,143,27,7,116
ge15_6h,FL.CTC.05,56,10,1,46
ge15_6h,FL.CTC.06,0,0,0,0
ge15_6h,FL.CTC.07,100,29,4,71
ge15_6h,FL.DDG.01,94,11,10,83
ge15_6h,FL.DDG.02,141,23,5,118
ge15_6h,FL.DDG.03,26,3,1,23
ge15_6h,FL.DDG.04,0,0,0,0
ge15_6h,FL.DDG.05,28,4,1,24
ge15_6h,FL.DDG.06,0,0,0,0
ge15_6h,FL.DDG.07,26,2,1,24
ge15_6h,FL.DDG.08,0,0,2,0
ge15_6h,FL.DST.03,0,0,0,0
ge15_6h,FL.DST.04,0,0,0,0
ge15_6h,FL.DST.06,0,0,0,0
ge15_6h,FL.DST.07,0,0,0,0
ge15_6h,FL.DST.08,0,0,0,0
ge15_6h,FL.HKG.01,49,4,4,45
ge15_6h,FL.JTG.01,28,4,0,24
ge15_6h,FL.KSN.01,0,0,0,0
ge15_6h,FL.KTY.01,0,0,0,0
ge15_6h,FL.KTY.02,24,1,1,23
ge15_6h,FL.KTY.03,25,3,0,22
ge15_6h,FL.KTY.04,0,0,0,0
ge15_6h,FL.KTY.05,0,0,0,0
ge15_6h,FL.LSI.02,110,17,9,93
ge15_6h,FL.LSI.03,0,0,1,0
ge15_6h,FL.LSI.04,25,2,10,23
ge15_6h,FL.LSI.05,0,0,1,0
ge15_6h,FL.LSI.06,0,0,0,0
ge15_6h,FL.MBR.01,0,0,0,0
ge15_6h,FL.PKN.01,0,0,0,0
ge15_6h,FL.PNK.02,0,0,0,0
ge15_6h,FL.PPS.01,47,0,2,47
ge15_6h,FL.PPS.02,0,0,0,0
ge15_6h,FL.PTW.01,30,7,0,23
ge15_6h,FL.PTW.02,28,5,1,23
ge15_6h,FL.PTW.03,0,0,0,0
ge15_6h,FL.PTW.05,34,10,2,24
ge15_6h,FL.PWT.01,0,0,0,0
ge15_6h,FL.PWT.02,60,17,21,43
ge15_6h,FL.PYT.01,56,9,3,47
ge15_6h,FL.PYT.02,62,15,4,47
ge15_6h,FL.PYT.03,0,0,1,0
ge15_6h,FL.PYT.04,26,2,1,24
ge15_6h,FL.PYT.05,56,10,2,46
ge15_6h,FL.PYT.06,58,11,1,47
ge15_6h,FL.PYT.07,49,2,2,47
ge15_6h,FL.RTW.01,0,0,0,0
ge15_6h,FL.RTW.02,0,0,0,0
ge15_6h,FL.RTW.03,0,0,0,0
ge15_6h,FL.RTW.04,27,4,1,23
ge15_6h,FL.RTW.05,49,1,2,48
ge15_6h,FL.RTW.06,0,0,0,0
ge15_6h,FL.RTW.07,48,2,6,46
ge15_6h,FL.RTW.08,87,16,1,71
ge15_6h,FL.RTW.09,82,12,13,70
ge15_6h,FL.RTW.10,28,4,4,24
ge15_6h,FL.RTW.11,48,3,3,45
ge15_6h,FL.RTW.12,26,2,2,24
ge15_6h,FL.SLG.01,0,0,6,0
ge15_6h,FL.SLG.02,0,0,0,0
ge15_6h,FL.SLG.03,93,21,6,72
ge15_6h,FL.SMI.01,255,25,13,230
ge15_6h,FL.SPW.01,0,0,5,0
ge15_6h,FL.SPW.02,0,0,0,0
ge15_6h,FL.STN.01,53,6,3,47
ge15_6h,FL.STN.02,0,0,0,0
ge15_6h,FL.STN.03,112,18,6,94
ge15_6h,FL.STN.04,0,0,0,0
ge15_6h,FL.WTL.01,0,0,1,0
ge15_6h,FL.WTL.02,0,0,0,0
ge15_6h,FL.WTL.03,0,0,0,0
ge15_6h,FL.WTL.04,30,7,2,23
ge15_6h,FL.WTN.01,5,0,0,5
ge15_6h,FL.WTN.02,0,0,0,0
ge15_6h,FL.WTN.03,0,0,0,0
ge30_6h,FL.BBN.01,0,0,0,0
ge30_6h,FL.BBN.02,0,0,0,0
ge30_6h,FL.BKA.02,0,0,0,0
ge30_6h,FL.BKE.01,0,0,0,0
ge30_6h,FL.BKE.02,0,0,44,0
ge30_6h,FL.BKM.01,27,3,6,24
ge30_6h,FL.BKM.02,0,0,0,0
ge30_6h,FL.BKN.01,0,0,0,0
ge30_6h,FL.BKN.02,0,0,0,0
ge30_6h,FL.BKP.01,0,0,0,0
ge30_6h,FL.BKP.02,0,0,0,0
ge30_6h,FL.BKT.01,0,0,0,0
ge30_6h,FL.BNA.01,0,0,0,0
ge30_6h,FL.BNA.02,0,0,0,0
ge30_6h,FL.BNA.03,0,0,22,0
ge30_6h,FL.BNA.04,0,0,5,0
ge30_6h,FL.BNA.05,0,0,2,0
ge30_6h,FL.BRK.01,0,0,5,0
ge30_6h,FL.BRK.02,0,0,10,0
ge30_6h,FL.BSU.01,0,0,0,0
ge30_6h,FL.CTC.01,0,0,2,0
ge30_6h,FL.CTC.02,0,0,0,0
ge30_6h,FL.CTC.03,48,1,2,47
ge30_6h,FL.CTC.04,0,0,0,0
ge30_6h,FL.CTC.05,0,0,0,0
ge30_6h,FL.CTC.06,0,0,0,0
ge30_6h,FL.CTC.07,60,13,6,47
ge30_6h,FL.DDG.01,0,0,0,0
ge30_6h,FL.DDG.02,50,4,2,46
ge30_6h,FL.DDG.03,0,0,0,0
ge30_6h,FL.DDG.04,0,0,0,0
ge30_6h,FL.DDG.05,0,0,0,0
ge30_6h,FL.DDG.06,0,0,5,0
ge30_6h,FL.DDG.07,0,0,0,0
ge30_6h,FL.DDG.08,0,0,0,0
ge30_6h,FL.DST.03,0,0,0,0
ge30_6h,FL.DST.04,0,0,0,0
ge30_6h,FL.DST.06,0,0,0,0
ge30_6h,FL.DST.07,0,0,0,0
ge30_6h,FL.DST.08,0,0,0,0
ge30_6h,FL.HKG.01,0,0,0,0
ge30_6h,FL.JTG.01,0,0,0,0
ge30_6h,FL.KSN.01,0,0,0,0
ge30_6h,FL.KTY.01,0,0,0,0
ge30_6h,FL.KTY.02,0,0,0,0
ge30_6h,FL.KTY.03,0,0,0,0
ge30_6h,FL.KTY.04,0,0,0,0
ge30_6h,FL.KTY.05,0,0,0,0
ge30_6h,FL.LSI.02,0,0,0,0
ge30_6h,FL.LSI.03,0,0,0,0
ge30_6h,FL.LSI.04,0,0,0,0
ge30_6h,FL.LSI.05,0,0,0,0
ge30_6h,FL.LSI.06,0,0,1,0
ge30_6h,FL.MBR.01,0,0,0,0
ge30_6h,FL.PKN.01,0,0,0,0
ge30_6h,FL.PNK.02,0,0,0,0
ge30_6h,FL.PPS.01,0,0,0,0
ge30_6h,FL.PPS.02,0,0,0,0
ge30_6h,FL.PTW.01,24,0,1,24
ge30_6h,FL.PTW.02,0,0,0,0
ge30_6h,FL.PTW.03,0,0,0,0
ge30_6h,FL.PTW.05,27,4,1,23
ge30_6h,FL.PWT.01,0,0,0,0
ge30_6h,FL.PWT.02,0,0,0,0
ge30_6h,FL.PYT.01,0,0,0,0
ge30_6h,FL.PYT.02,26,3,2,23
ge30_6h,FL.PYT.03,0,0,0,0
ge30_6h,FL.PYT.04,0,0,0,0
ge30_6h,FL.PYT.05,0,0,0,0
ge30_6h,FL.PYT.06,0,0,0,0
ge30_6h,FL.PYT.07,0,0,0,0
ge30_6h,FL.RTW.01,0,0,0,0
ge30_6h,FL.RTW.02,0,0,0,0
ge30_6h,FL.RTW.03,0,0,0,0
ge30_6h,FL.RTW.04,0,0,0,0
ge30_6h,FL.RTW.05,0,0,0,0
ge30_6h,FL.RTW.06,0,0,0,0
ge30_6h,FL.RTW.07,0,0,0,0
ge30_6h,FL.RTW.08,28,4,0,24
ge30_6h,FL.RTW.09,0,0,0,0
ge30_6h,FL.RTW.10,25,3,1,22
ge30_6h,FL.RTW.11,0,0,0,0
ge30_6h,FL.RTW.12,0,0,0,0
ge30_6h,FL.SLG.01,0,0,0,0
ge30_6h,FL.SLG.02,0,0,0,0
ge30_6h,FL.SLG.03,26,2,1,24
ge30_6h,FL.SMI.01,64,17,9,47
ge30_6h,FL.SPW.01,0,0,0,0
ge30_6h,FL.SPW.02,0,0,0,0
ge30_6h,FL.STN.01,24,1,1,23
ge30_6h,FL.STN.02,0,0,0,0
ge30_6h,FL.STN.03,48,1,3,47
ge30_6h,FL.STN.04,0,0,0,0
ge30_6h,FL.WTL.01,0,0,0,0
ge30_6h,FL.WTL.02,0,0,0,0
ge30_6h,FL.WTL.03,0,0,0,0
ge30_6h,FL.WTL.04,0,0,0,0
ge30_6h,FL.WTN.01,5,0,0,5
ge30_6h,FL.WTN.02,0,0,0,0
ge30_6h,FL.WTN.03,0,0,0,0
